DATE,PERIOD,TITLE,MARKETPLACE,SELLER,PRICE,PARCEL,INSTALLMENT,INSTALLMENT_PAYMENT,URL,CATALOG,ID,GEO,SOLD,ATRIBUTES,DESCRIPTION,REVIEW NOTA,REVIEW QUANT
06/04/2023,Morning,"cosmeist inc. pacote de máscara creme de óleo suave amino mason, 200 ml  ",AMAZON,Style-Rule,334,10,334,3340,https://www.amazon.com.br/Cosmeist-Inc-Pacote-m%C3%A1scara-creme/dp/B07D5PGTTP/ref=sr_1_28?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-28&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,ad,B07D5PGTTP,Internacional,-,"{' Fabricante ': 'Nutritional Products International - Beauty', ' Número de unidades ': '1', ' Tamanho ': '7 Ounce', ' Modelo ': '61667', ' Número do modelo ': '61667', ' Dimensões do produto ': '5.08 x 5.08 x 10.16 cm; 226.8 g', ' ASIN ': 'B07D5PGTTP', ' Funciona a bateria ou pilha? ': 'No', ' EAN ': '4589919561667', ' Marca ': 'Cosmeist Inc.'}",The condensed formula of this mask provides both benefits of a hair mask and hair pack. It deeply replenishes cuticles with hydration and essential nutrients and strengthens hair's moisture retainment.,5 ,2 
06/04/2023,Morning,"cosmeist inc. pacote de máscara creme de óleo suave amino mason, 200 ml  ",AMAZON,CFB Store,564,10,"56,4",564,https://www.amazon.com.br/Cosmeist-Inc-Pacote-m%C3%A1scara-creme/dp/B07D5PGTTP/ref=sr_1_28?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-28&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,ad,B07D5PGTTP,Internacional,-,"{' Fabricante ': 'Nutritional Products International - Beauty', ' Número de unidades ': '1', ' Tamanho ': '7 Ounce', ' Modelo ': '61667', ' Número do modelo ': '61667', ' Dimensões do produto ': '5.08 x 5.08 x 10.16 cm; 226.8 g', ' ASIN ': 'B07D5PGTTP', ' Funciona a bateria ou pilha? ': 'No', ' EAN ': '4589919561667', ' Marca ': 'Cosmeist Inc.'}",The condensed formula of this mask provides both benefits of a hair mask and hair pack. It deeply replenishes cuticles with hydration and essential nutrients and strengthens hair's moisture retainment.,-,11 
06/04/2023,Morning,med for you equal máscara hidratante 200g  ,AMAZON,Epoca Cosmeticos,"78,9",10,"7,89","78,9",https://www.amazon.com.br/Med-You-Equal-M%C3%A1scara-Hidratante/dp/B0B3BFSMQL/ref=sr_1_5?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-5,ad,B0B3BFSMQL,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 10 cm; 240 g', ' ASIN ': 'B0B3BFSMQL', ' EAN ': '7898692550230', ' Marca ': 'Med For You Professional'}","Máscara hidratante para repor umidade e maciez dos fios. Hidratação profunda, devolvendo nutrientes e recuperando as propriedades naturais dos fios.Especialmente desenvolvida para recuperar a hidratação e umectação natural dos cabelos, atuando na reposição de lipídios dos fios secos ou ressecados, devolvendo maciez, suavidade brilho.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Manteiga de Karité: ação nutritiva, emoliente, protetora da camada lipídica.Óleo de Coco: rico em vitaminas A, D, E e K e também em ácidos graxos, que conseguem penetrar profundamente na cutícula do fio. Garantindo nutrição, maciez e brilho.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarApós lavar seus cabelos com shampoo, aplique uma pequena quantidade da máscara (o equivalente a uma moedinha na palma da sua mão) nos seus cabelos, limpos e úmidos, distribuindo mecha a mecha. Desembarace com os dedos ou uma escova larga e deixe agir por alguns minutos (verifique o tempo indicado na embalagem). Enxague bem e aplique o condicionar em seguida. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com",-,3391 
06/04/2023,Morning,med for you equal máscara hidratante 200g  ,AMAZON,Outlet da Beleza DF,80,10,80,800,https://www.amazon.com.br/Med-You-Equal-M%C3%A1scara-Hidratante/dp/B0B3BFSMQL/ref=sr_1_5?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-5,ad,B0B3BFSMQL,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 10 cm; 240 g', ' ASIN ': 'B0B3BFSMQL', ' EAN ': '7898692550230', ' Marca ': 'Med For You Professional'}","Máscara hidratante para repor umidade e maciez dos fios. Hidratação profunda, devolvendo nutrientes e recuperando as propriedades naturais dos fios.Especialmente desenvolvida para recuperar a hidratação e umectação natural dos cabelos, atuando na reposição de lipídios dos fios secos ou ressecados, devolvendo maciez, suavidade brilho.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Manteiga de Karité: ação nutritiva, emoliente, protetora da camada lipídica.Óleo de Coco: rico em vitaminas A, D, E e K e também em ácidos graxos, que conseguem penetrar profundamente na cutícula do fio. Garantindo nutrição, maciez e brilho.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarApós lavar seus cabelos com shampoo, aplique uma pequena quantidade da máscara (o equivalente a uma moedinha na palma da sua mão) nos seus cabelos, limpos e úmidos, distribuindo mecha a mecha. Desembarace com os dedos ou uma escova larga e deixe agir por alguns minutos (verifique o tempo indicado na embalagem). Enxague bem e aplique o condicionar em seguida. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com",0 ,0 
06/04/2023,Morning,med for you equal máscara hidratante 200g  ,AMAZON,Gigi Cosméticos,"81,9",10,"8,19","81,9",https://www.amazon.com.br/Med-You-Equal-M%C3%A1scara-Hidratante/dp/B0B3BFSMQL/ref=sr_1_5?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-5,ad,B0B3BFSMQL,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 10 cm; 240 g', ' ASIN ': 'B0B3BFSMQL', ' EAN ': '7898692550230', ' Marca ': 'Med For You Professional'}","Máscara hidratante para repor umidade e maciez dos fios. Hidratação profunda, devolvendo nutrientes e recuperando as propriedades naturais dos fios.Especialmente desenvolvida para recuperar a hidratação e umectação natural dos cabelos, atuando na reposição de lipídios dos fios secos ou ressecados, devolvendo maciez, suavidade brilho.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Manteiga de Karité: ação nutritiva, emoliente, protetora da camada lipídica.Óleo de Coco: rico em vitaminas A, D, E e K e também em ácidos graxos, que conseguem penetrar profundamente na cutícula do fio. Garantindo nutrição, maciez e brilho.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarApós lavar seus cabelos com shampoo, aplique uma pequena quantidade da máscara (o equivalente a uma moedinha na palma da sua mão) nos seus cabelos, limpos e úmidos, distribuindo mecha a mecha. Desembarace com os dedos ou uma escova larga e deixe agir por alguns minutos (verifique o tempo indicado na embalagem). Enxague bem e aplique o condicionar em seguida. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com",-,11 
06/04/2023,Morning,med for you equal máscara hidratante 200g  ,AMAZON,Dakini Cosméticos,"80,2",10,"8,02","80,2",https://www.amazon.com.br/Med-You-Equal-M%C3%A1scara-Hidratante/dp/B0B3BFSMQL/ref=sr_1_5?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-5,ad,B0B3BFSMQL,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 10 cm; 240 g', ' ASIN ': 'B0B3BFSMQL', ' EAN ': '7898692550230', ' Marca ': 'Med For You Professional'}","Máscara hidratante para repor umidade e maciez dos fios. Hidratação profunda, devolvendo nutrientes e recuperando as propriedades naturais dos fios.Especialmente desenvolvida para recuperar a hidratação e umectação natural dos cabelos, atuando na reposição de lipídios dos fios secos ou ressecados, devolvendo maciez, suavidade brilho.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Manteiga de Karité: ação nutritiva, emoliente, protetora da camada lipídica.Óleo de Coco: rico em vitaminas A, D, E e K e também em ácidos graxos, que conseguem penetrar profundamente na cutícula do fio. Garantindo nutrição, maciez e brilho.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarApós lavar seus cabelos com shampoo, aplique uma pequena quantidade da máscara (o equivalente a uma moedinha na palma da sua mão) nos seus cabelos, limpos e úmidos, distribuindo mecha a mecha. Desembarace com os dedos ou uma escova larga e deixe agir por alguns minutos (verifique o tempo indicado na embalagem). Enxague bem e aplique o condicionar em seguida. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com",-,3 
06/04/2023,Morning,med for you equal leave-in hidratante 200ml  ,AMAZON,Alta Vista Cosméticos,"55,98",10,5598,55980,https://www.amazon.com.br/Med-You-Equal-Leave-Hidratante/dp/B0B3BFT825/ref=sr_1_9?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-9,ad,B0B3BFT825,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 20 cm; 240 g', ' ASIN ': 'B0B3BFT825', ' EAN ': '7898692550278', ' Marca ': 'Med For You Professional'}","Leave-in antioxidante e extremamente hidratante, devolve nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica, cabelos macios e brilho radiante.Atua na reposição de lipídios aos fios secos ou ressecados, deixando-os condicionados, hidratados e facilmente desembaraçados. Sua composição possui Extrato de Algas que oferece ação antioxidante e proteção, Xilitol e Hidrolisado Proteico do Arroz que devolvem nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica e cabelos com alta penteabilidade.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Extrato de Algas marinhas: ricas em polissacarídeos, polímeros naturais que protege e fortalece a fibra capilar.Coquetel de vitaminas (E, C, B3, B5 e B6): fortalece a fibra, ação antioxidante, alto poder hidratante e proteção UV.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarVerifique na embalagem o melhor procedimento para uso deste produto. Recomendamos que a aplicação seja feita por um profissional, consulte seu cabeleireiro. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com o meio am",0 ,0 
06/04/2023,Morning,med for you equal leave-in hidratante 200ml  ,AMAZON,Gigi Cosméticos,"81,9",10,"8,19","81,9",https://www.amazon.com.br/Med-You-Equal-Leave-Hidratante/dp/B0B3BFT825/ref=sr_1_9?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-9,ad,B0B3BFT825,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 20 cm; 240 g', ' ASIN ': 'B0B3BFT825', ' EAN ': '7898692550278', ' Marca ': 'Med For You Professional'}","Leave-in antioxidante e extremamente hidratante, devolve nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica, cabelos macios e brilho radiante.Atua na reposição de lipídios aos fios secos ou ressecados, deixando-os condicionados, hidratados e facilmente desembaraçados. Sua composição possui Extrato de Algas que oferece ação antioxidante e proteção, Xilitol e Hidrolisado Proteico do Arroz que devolvem nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica e cabelos com alta penteabilidade.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Extrato de Algas marinhas: ricas em polissacarídeos, polímeros naturais que protege e fortalece a fibra capilar.Coquetel de vitaminas (E, C, B3, B5 e B6): fortalece a fibra, ação antioxidante, alto poder hidratante e proteção UV.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarVerifique na embalagem o melhor procedimento para uso deste produto. Recomendamos que a aplicação seja feita por um profissional, consulte seu cabeleireiro. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com o meio am",-,11 
06/04/2023,Morning,med for you equal leave-in hidratante 200ml  ,AMAZON,Dakini Cosméticos,"80,2",10,"8,02","80,2",https://www.amazon.com.br/Med-You-Equal-Leave-Hidratante/dp/B0B3BFT825/ref=sr_1_9?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-9,ad,B0B3BFT825,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 20 cm; 240 g', ' ASIN ': 'B0B3BFT825', ' EAN ': '7898692550278', ' Marca ': 'Med For You Professional'}","Leave-in antioxidante e extremamente hidratante, devolve nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica, cabelos macios e brilho radiante.Atua na reposição de lipídios aos fios secos ou ressecados, deixando-os condicionados, hidratados e facilmente desembaraçados. Sua composição possui Extrato de Algas que oferece ação antioxidante e proteção, Xilitol e Hidrolisado Proteico do Arroz que devolvem nutrientes diretamente na estrutura dos fios, proporcionando proteção térmica e cabelos com alta penteabilidade.AtivosXilitol: açúcar de origem natural que confere ação hidratante e condicionante.Hidrolizado Proteico do arroz de origem vegetal: promove brilho, maciez, equilíbrio hídrico.Extrato de Algas marinhas: ricas em polissacarídeos, polímeros naturais que protege e fortalece a fibra capilar.Coquetel de vitaminas (E, C, B3, B5 e B6): fortalece a fibra, ação antioxidante, alto poder hidratante e proteção UV.Fórmula livre deGlúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarVerifique na embalagem o melhor procedimento para uso deste produto. Recomendamos que a aplicação seja feita por um profissional, consulte seu cabeleireiro. MFU EqualUma nova linha criada para repor umidade e maciez, atuando na reposição de lipídios dos fios secos ou ressecados. Composta de Xilitol e Hidrolisado Proteico do Arroz, devolve nutrientes e hidrata, recuperando as propriedades naturais dos fios. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com o meio am",-,3 
06/04/2023,Morning,med for you nutri drops máscara nutritiva 200g  ,AMAZON,Outlet da Beleza DF,67,10,67,670,https://www.amazon.com.br/Med-You-Nutri-M%C3%A1scara-Nutritiva/dp/B0B3BKM8BF/ref=sr_1_1?keywords=Med+For+You+Professional+Amino+-+M%C3%A1scara+Capilar+200g&qid=1680772039&sr=8-1,ad,B0B3BKM8BF,Nacional,-,"{' Fabricante ': 'HAIRVIX COMERCIO DE COSMETICOS EIRELI ME', ' Dimensões do produto ': '10 x 10 x 10 cm; 240 g', ' ASIN ': 'B0B3BKM8BF', ' EAN ': '7898692550568', ' Marca ': 'Med For You Professional'}","Máscara nutritiva para repor nutrientes diariamente. Condiciona,atua repondo nutrientes e condicionando profundamente. Enriquecida com óleo de Macadâmia, Nutri Drops Máscara atua repondo nutrientes e condicionando profundamente. Preservando a camada externa dos fios, proporcionando vitalidade e brilho.Ativos- Coquetel de vitaminas (E, C, B3, B5 e B6): ação antioxidante, alto poder hidratante e proteção UV,- Extratos de algas marinhas ricas: ricas em polissacarídeos, polímeros naturais que protege e fortalece a fibra capilar.- Óleo de Macadamia: possui alto poder hidratante, auxilia no controle do volume e frizz e ação protetora UVA e UVB.-Óleo de amêndoas doces: alto poder de hidratação.-Extratos de algas marinhas ricas: ricas em polissacarídeos, polímeros naturais que protege e fortalece a fibra capilar.Fórmula livre de: Glúten, Parabenos, Corantes, derivados de Benzofenona, derivados de Petróleo, Methylchloroisothiazolinone e Methylisothiazolinone. Modo de UsarApós lavar seus cabelos com shampoo, aplique uma pequena quantidade da máscara (o equivalente a uma moedinha na palma da sua mão) nos seus cabelos, limpos e úmidos, distribuindo mecha a mecha. Desembarace com os dedos ou uma escova larga e deixe agir por alguns minutos (verifique o tempo indicado na embalagem). Enxague bem e aplique o condicionar em seguida. Nutri DropsUma nova linha dcriada para prporcionar doses diárias de nutrição aos fios. Enriquecido com óleo de Macadâmia, que proporciona força, vitalidade e um brilho radiante. Med For You ProfessionalUma marca brasileira para profissionais e consumidores que valorizam os diferentes tipos de beleza, pois cada cabelo tem seu brilho. Uma mistura inspirada na beleza de cada mulher com resultados únicos. Eco friendly, MED FOR YOU se preocupa com o meio ambiente e com a suste",0 ,0 
